,Luchthaven,Jaartal,Totaal ATM,Totaal Commercieel ATM,C. Geregeld PAX ATM,C. Geregeld Cargo ATM,C. Ongeregeld PAX ATM,C. Ongeregeld Cargo ATM,C. Brandstof ATM,C. Positievlucht ATM,C. Taxivlucht ATM,C. Fotovlucht ATM,C. Rondvlucht ATM,C. Reclamevlucht ATM,C. Spuitvlucht ATM,C. Ambulancevlucht ATM,C. Overig ATM,Totaal Non-Commercieel ATM,NC. Zakenvlucht ATM,NC. Privévlucht ATM,NC. Valschermvlucht ATM,NC. Zweefsleepvlucht ATM,NC. Politievlucht ATM,NC. Inspectievlucht ATM,NC. Maatschappelijke vlucht ATM,NC. Les/Oefenvlucht ATM,NC. Proef/Testvlucht ATM,NC. Overig ATM,Regio,Regio Totaal
79,Midden-Zeeland,2012,21989.0,2236.0,0.0,2.0,34.0,0.0,2.0,30.0,0.0,262.0,792.0,139.0,1.0,8.0,966.0,19753.0,117.0,9387.0,1994.0,1193.0,123.0,198.0,246.0,6134.0,240.0,121.0,West,90061.0
80,Midden-Zeeland,2013,20914.0,1667.0,0.0,0.0,0.0,0.0,1.0,82.0,28.0,262.0,776.0,118.0,0.0,6.0,394.0,19247.0,42.0,9319.0,2104.0,1697.0,80.0,141.0,16.0,5645.0,153.0,50.0,West,83174.0
81,Midden-Zeeland,2014,20089.0,1840.0,0.0,0.0,26.0,0.0,16.0,399.0,0.0,262.0,662.0,141.0,0.0,4.0,330.0,18249.0,31.0,8083.0,2006.0,1744.0,17.0,137.0,15.0,5979.0,205.0,32.0,West,92203.0
82,Midden-Zeeland,2015,20904.0,1803.0,0.0,2.0,11.0,0.0,10.0,422.0,0.0,223.0,876.0,37.0,0.0,14.0,208.0,19101.0,70.0,9038.0,1772.0,1728.0,44.0,135.0,23.0,5983.0,197.0,111.0,West,89788.0
83,Midden-Zeeland,2016,20451.0,2199.0,0.0,0.0,16.0,1.0,6.0,143.0,2.0,207.0,1202.0,16.0,0.0,20.0,586.0,18252.0,26.0,8986.0,1724.0,1492.0,80.0,117.0,49.0,5548.0,215.0,15.0,West,90888.0
84,Midden-Zeeland,2017,20754.0,1690.0,0.0,0.0,5.0,4.0,4.0,208.0,4.0,161.0,1216.0,13.0,1.0,4.0,70.0,19064.0,69.0,10385.0,1615.0,1555.0,22.0,208.0,61.0,4989.0,145.0,15.0,West,87692.0
85,Midden-Zeeland,2018,25464.0,2108.0,0.0,0.0,2.0,0.0,4.0,92.0,3.0,166.0,1398.0,50.0,0.0,6.0,387.0,23356.0,83.0,10833.0,2167.0,1724.0,22.0,299.0,60.0,8006.0,121.0,41.0,West,94398.0
86,Midden-Zeeland,2019,27747.0,2635.0,0.0,0.0,5.0,4.0,3.0,29.0,0.0,353.0,1718.0,5.0,0.0,4.0,514.0,25112.0,50.0,10481.0,2061.0,1502.0,55.0,236.0,42.0,10476.0,175.0,34.0,West,95213.0
87,Midden-Zeeland,2020,27722.0,1936.0,0.0,0.0,8.0,2.0,8.0,33.0,0.0,419.0,772.0,8.0,0.0,4.0,682.0,25786.0,22.0,11651.0,1563.0,1299.0,44.0,175.0,41.0,10809.0,129.0,53.0,West,91733.0
99,Seppe,2010,47027.0,416.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,39.0,0.0,345.0,0.0,0.0,0.0,46611.0,245.0,11612.0,1399.0,144.0,64.0,161.0,2.0,32869.0,49.0,66.0,Zuid,100908.0
100,Seppe,2011,45385.0,998.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,72.0,268.0,603.0,0.0,2.0,4.0,44387.0,252.0,12693.0,1800.0,0.0,97.0,133.0,0.0,29306.0,62.0,44.0,Zuid,94578.0
101,Seppe,2012,42171.0,959.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,117.0,574.0,196.0,0.0,4.0,32.0,41212.0,356.0,12934.0,1818.0,0.0,76.0,356.0,0.0,25402.0,100.0,170.0,Zuid,82106.0
102,Seppe,2013,37972.0,836.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,51.0,518.0,245.0,0.0,2.0,6.0,37136.0,233.0,12222.0,1761.0,22.0,42.0,345.0,6.0,22371.0,62.0,72.0,Zuid,77429.0
103,Seppe,2014,39458.0,877.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,76.0,486.0,284.0,0.0,4.0,2.0,38581.0,329.0,12189.0,2282.0,28.0,51.0,404.0,0.0,23095.0,83.0,120.0,Zuid,83466.0
104,Seppe,2015,37121.0,1238.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,66.0,624.0,482.0,0.0,5.0,6.0,35883.0,235.0,11932.0,2137.0,42.0,32.0,447.0,2.0,20944.0,51.0,61.0,Zuid,87230.0
105,Seppe,2016,39647.0,1473.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,56.0,690.0,594.0,0.0,4.0,9.0,38174.0,213.0,12288.0,2065.0,42.0,72.0,543.0,14.0,22768.0,116.0,53.0,Zuid,88804.0
106,Seppe,2017,39008.0,1639.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,36.0,802.0,735.0,0.0,14.0,0.0,37369.0,179.0,11480.0,1500.0,24.0,36.0,545.0,9.0,23528.0,62.0,6.0,Zuid,84739.0
107,Seppe,2018,41009.0,1346.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,640.0,640.0,0.0,14.0,8.0,39663.0,174.0,10517.0,1374.0,34.0,24.0,560.0,10.0,26850.0,78.0,42.0,Zuid,86125.0
108,Seppe,2019,42872.0,774.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,27.0,432.0,276.0,0.0,12.0,10.0,42098.0,120.0,10092.0,1318.0,28.0,10.0,593.0,0.0,29870.0,54.0,13.0,Zuid,84701.0
109,Seppe,2020,37177.0,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,56.0,208.0,0.0,2.0,7.0,36894.0,80.0,10666.0,883.0,123.0,8.0,666.0,1.0,24403.0,38.0,26.0,Zuid,85661.0
110,Teuge,2010,67397.0,9748.0,0.0,0.0,0.0,0.0,136.0,557.0,7.0,643.0,8022.0,236.0,0.0,6.0,141.0,57649.0,317.0,7858.0,4452.0,636.0,275.0,701.0,0.0,43173.0,208.0,29.0,Oost,193076.0
111,Teuge,2011,74339.0,13822.0,0.0,4.0,0.0,0.0,59.0,25.0,0.0,504.0,12128.0,268.0,0.0,6.0,828.0,60517.0,259.0,8968.0,4388.0,974.0,142.0,785.0,0.0,44788.0,210.0,3.0,Oost,197383.0
112,Teuge,2012,70663.0,18366.0,0.0,1.0,2.0,0.0,25.0,0.0,1.0,636.0,16530.0,214.0,0.0,6.0,951.0,52297.0,224.0,8754.0,4122.0,851.0,66.0,540.0,3.0,37578.0,159.0,0.0,Oost,185193.0
113,Teuge,2013,65124.0,20447.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,576.0,18790.0,178.0,0.0,2.0,879.0,44677.0,194.0,9736.0,3911.0,825.0,81.0,512.0,6.0,29250.0,160.0,2.0,Oost,171204.0
114,Teuge,2014,57260.0,16811.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,634.0,15380.0,205.0,0.0,0.0,561.0,40449.0,233.0,11787.0,5043.0,1003.0,80.0,397.0,0.0,21720.0,174.0,12.0,Oost,156258.0
115,Teuge,2015,43096.0,14436.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,665.0,12716.0,283.0,0.0,2.0,745.0,28660.0,191.0,13027.0,5595.0,1069.0,70.0,517.0,0.0,7933.0,244.0,14.0,Oost,136914.0
116,Teuge,2016,40657.0,14277.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,644.0,12636.0,272.0,0.0,0.0,713.0,26380.0,170.0,11710.0,5958.0,717.0,85.0,806.0,0.0,6739.0,175.0,20.0,Oost,131967.0
117,Teuge,2017,39627.0,13288.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,515.0,11700.0,301.0,0.0,10.0,741.0,26339.0,98.0,12013.0,5264.0,734.0,90.0,804.0,0.0,7232.0,104.0,0.0,Oost,123845.0
118,Teuge,2018,46044.0,13617.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,850.0,11660.0,290.0,0.0,0.0,810.0,32427.0,154.0,13092.0,6077.0,1016.0,51.0,1286.0,0.0,10704.0,47.0,0.0,Oost,149409.0
119,Teuge,2019,45517.0,12074.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,714.0,10358.0,278.0,0.0,22.0,698.0,33443.0,96.0,11398.0,4957.0,1002.0,58.0,598.0,0.0,15144.0,190.0,0.0,Oost,142904.0
120,Teuge,2020,48747.0,9594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,7790.0,485.0,0.0,12.0,648.0,39153.0,80.0,11739.0,4154.0,756.0,32.0,646.0,0.0,21571.0,175.0,0.0,Oost,125693.0
132,Texel,2010,25023.0,4234.0,0.0,3.0,116.0,0.0,0.0,124.0,0.0,127.0,3858.0,2.0,0.0,4.0,0.0,20789.0,207.0,8413.0,3856.0,0.0,55.0,295.0,30.0,7885.0,36.0,12.0,West,90405.0
133,Texel,2011,24923.0,3791.0,1.0,0.0,85.0,0.0,0.0,30.0,0.0,217.0,3450.0,2.0,0.0,4.0,2.0,21132.0,292.0,9860.0,3774.0,0.0,50.0,335.0,38.0,6757.0,12.0,14.0,West,96081.0
134,Texel,2012,24334.0,4134.0,0.0,1.0,73.0,0.0,0.0,24.0,0.0,210.0,3820.0,0.0,0.0,6.0,0.0,20200.0,325.0,9489.0,3819.0,0.0,58.0,315.0,24.0,6120.0,8.0,42.0,West,90061.0
135,Texel,2013,23457.0,4098.0,0.0,0.0,66.0,0.0,0.0,1.0,0.0,194.0,3834.0,0.0,0.0,2.0,1.0,19359.0,303.0,8832.0,3914.0,0.0,58.0,336.0,18.0,5884.0,10.0,4.0,West,83174.0
136,Texel,2014,26755.0,5564.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,249.0,5242.0,0.0,0.0,2.0,0.0,21191.0,294.0,8969.0,4130.0,0.0,93.0,300.0,40.0,7337.0,24.0,4.0,West,92203.0
137,Texel,2015,25764.0,6070.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,371.0,5618.0,2.0,0.0,0.0,0.0,19694.0,312.0,8960.0,4718.0,0.0,48.0,286.0,6.0,5300.0,32.0,32.0,West,89788.0
